ID,score,Y
corp_2000570,0.8507646091735088,1
corp_2017774,0.06830725700183851,0
corp_2002558,0.06897220462854278,0
corp_2006073,0.07177405715787613,0
corp_2011707,0.06939398814919695,0
corp_2019491,0.06503248384723745,0
corp_2012152,0.06299669382663876,0
corp_2003277,0.06990586579264661,0
corp_2003287,0.1783355382077509,0
corp_2012980,0.8809504976009851,1
corp_2011144,0.18468942622574921,0
corp_2003393,0.3943570550054085,0
corp_2002191,0.6671105163830202,1
corp_2006072,0.07262713977098069,0
corp_2001860,0.07145918696641264,0
corp_2017680,0.07167580256336564,0
corp_2019784,0.06233638394867087,0
corp_2016338,0.3904458120794328,0
corp_2004832,0.06584359581439542,0
corp_2017564,0.0675852298560043,0
corp_2013248,0.0657958696974797,0
corp_2004049,0.07290910045261904,0
corp_2003089,0.06494565184828839,0
corp_2006914,0.06616735522571963,0
corp_2001735,0.3945634189781862,0
corp_2018250,0.41350364588244776,1
corp_2013298,0.4015244833381484,1
corp_2016558,0.39171939665586974,0
corp_2006318,0.182325593880187,0
corp_2008660,0.07455588573510723,0
corp_2006006,0.3959076228605913,0
corp_2001812,0.05943254189390659,0
corp_2012759,0.06639668436273055,0
corp_2011018,0.07346049805435971,0
corp_2012823,0.06329203588729304,0
corp_2019556,0.06739347251861084,0
corp_2016313,0.07458702805399632,0
corp_2018009,0.40586129620067696,1
corp_2002512,0.06148713380842416,0
corp_2001995,0.0703392335973639,0
corp_2008568,0.07097454535407469,0
corp_2016385,0.3886993886427883,0
corp_2013959,0.17193243241599596,0
corp_2010051,0.07199231006070951,0
corp_2006803,0.39513445146391146,0
corp_2015551,0.07148709566151097,0
corp_2015981,0.06792767373139895,0
corp_2014328,0.06648495601943509,0
corp_2005251,0.06309975245848204,0
corp_2002156,0.06372603853788965,0
corp_2007975,0.06875854853334659,0
corp_2019428,0.06925645868043132,0
corp_2008697,0.06907221961295841,0
corp_2000836,0.06893053873934007,0
corp_2009078,0.40171085459005534,1
corp_2012737,0.8351573107066746,1
corp_2012382,0.06831839150342611,0
corp_2001121,0.6583523427233268,1
corp_2006951,0.6683246501541183,1
corp_2018422,0.07150308405684816,0
corp_2016980,0.17231179007888542,0
corp_2016085,0.07020929332901597,0
